basin,p01,p02,p25,p50,p75,p98,p99
11,0.21,0.47,21.02,35.88,58.79,146.3,170.02
12,0.26,0.61,23.94,37.17,60.38,153.2976000000001,180.70940000000004
13,0.3,0.71,23.7,36.76,59.305,143.96,168.11880000000005
14,0.32,0.75,24.44,37.08,59.5,144.99,170.1226000000001
15,0.24,0.61,24.3375,37.535,61.66,157.88579999999988,186.58580000000018
16,0.29,0.69,25.02,37.78,61.89,159.86279999999985,187.40759999999995
17,0.26,0.63,23.4,36.81,59.73,151.40919999999997,178.78
18,0.28939999999999994,0.54,20.985,35.93,58.765,146.00479999999996,168.9006
21,0.22,0.37,20.14,35.78,58.77,150.6359999999999,180.15500000000003
22,0.22,0.53,22.86,36.59,59.595,148.90640000000013,174.3008
23,0.2,0.42,21.29,36.25,58.77,147.20239999999998,173.83640000000057
24,0.25,0.31,17.73,35.4,58.48,144.93,171.38559999999998
25,0.26,0.31,15.6575,34.855000000000004,58.8425,157.07600000000014,190.56840000000042
26,0.29,0.58,23.01,36.945,60.162499999999994,145.30660000000006,172.19230000000027
27,0.29,0.39,18.94,35.09,58.48,155.15680000000003,192.53599999999975
28,0.19,0.49,22.83,36.685,59.85,156.45,189.98970000000017
29,0.18,0.44,21.02,36.19,59.01,152.91119999999995,181.82
31,0.27,0.65,22.74,36.62,59.22,144.15400000000022,168.77200000000013
32,0.26,0.65,23.91,37.27,60.38,146.32,172.32299999999995
33,0.31,0.65,23.22,36.97,59.88,146.98799999999994,172.10200000000012
34,0.31,0.73,24.224999999999998,37.44,60.76,149.71860000000007,176.3009999999998
35,0.26,0.57,22.31,36.34,59.03,144.5755999999999,167.62040000000007
36,0.12960000000000008,0.28,18.49,35.73,58.15,142.92959999999997,162.0852
41,0.19810000000000003,0.33,15.684999999999999,34.22,56.8025,151.49799999999993,183.6704000000001
42,0.22,0.46,21.22,36.19,58.49,143.69900000000007,166.57579999999987
43,0.23,0.47,21.51,36.02,58.44,142.01,166.55899999999966
44,0.26,0.46,19.7,35.38,56.79,138.4602,162.46140000000028
45,0.25,0.59,22.84,36.65,59.45,146.5248000000001,171.72160000000002
46,0.22,0.55,22.91,36.76,60.02,150.68219999999965,180.88730000000047
47,0.12,0.27,17.89,34.73,56.56,141.96719999999993,167.7
48,0.15,0.39,21.57,36.29,59.68,152.03640000000013,179.2548000000001
51,0.26,0.35,15.977500000000001,34.379999999999995,56.302499999999995,143.3592,168.50969999999998
52,0.27,0.37,17.12,34.41,56.417500000000004,143.88,171.7292
53,0.28,0.36,16.85,34.77,57.855000000000004,148.24999999999986,177.86800000000002
54,0.2521,0.26,0.39,0.725,1.79,52.17559999999994,104.23429999999996
55,0.26,0.299,5.3075,30.155,52.5825,178.89699999999985,243.72899999999962
56,0.23,0.48,20.85,35.95,58.49,144.42679999999993,168.09839999999997
57,0.26,0.39,18.83,35.32,57.51,151.26319999999978,183.4511999999999
61,0.32,0.66,22.45,36.29,58.53,144.69399999999993,170.4620000000001
62,0.35,0.8,23.95,36.93,59.3,144.35880000000006,169.57440000000003
63,0.31,0.7,23.42,36.95,59.7,149.08199999999982,174.64600000000004
64,0.33,0.77,24.6,37.41,60.87,154.13919999999956,181.4698000000001
65,0.18,0.41360000000000013,22.44,36.83,60.43,151.44199999999998,181.80559999999997
66,0.2,0.3,15.94,34.44,57.22,152.41,184.35
67,0.28,0.56,21.744999999999997,36.2,59.2,143.62359999999998,172.7912000000006
71,0.25,0.64,22.64,36.71,59.3625,146.68919999999983,169.99979999999996
72,0.26,0.4,22.07,36.86,60.66,156.83,189.3
73,0.27,0.43,20.925,36.13,58.01,146.23359999999988,173.32799999999997
74,0.26,0.6,24.0,36.98,60.07,150.51080000000002,177.7347999999992
75,0.2,0.42,20.74,35.71,57.83,142.64380000000028,168.3063
76,0.25,0.29,7.9975000000000005,31.020000000000003,52.9225,137.69219999999999,173.19849999999994
77,0.14,0.33,19.255000000000003,35.02,56.46,139.0323999999999,164.02779999999998
78,0.26,0.4,22.17,36.73,60.325,149.74119999999994,177.8028
81,0.27,0.53,22.78,37.24,60.54,151.7,179.43
82,0.26,0.63,23.69,36.97,60.15,149.32260000000002,177.28359999999986
83,0.27,0.37,19.322499999999998,35.614999999999995,57.9075,141.04579999999999,162.84950000000006
84,0.28,0.4,18.595,35.3,57.38,140.6768,165.25990000000007
85,0.27,0.32,16.12,34.64,58.72,155.81559999999996,186.77759999999998
86,0.31,0.53,20.39,35.91,58.5825,153.78140000000008,185.27739999999963
91,0.12,0.3,21.755000000000003,37.09,61.93,174.67599999999985,209.4444000000009
